Q1(S),Q2(A),Q3(D),Q4(A),Q5(D),Q6(S),Q7(A),Q8(S),Q9(A),Q10(D),Q11(S),Q12(S),Q13(D),Q14(S),Q15(A),Q16(D),Q17(D),Q18(S),Q19(A),Q20(A),Q21(D),TIPI1,TIPI2,TIPI3,TIPI4,TIPI5,TIPI6,TIPI7,TIPI8,TIPI9,TIPI10,education,urban,gender,age,familysize,Str,Anx,Dep,Depression,Anxiety,Stress,family,family_enc,age class,age_enc
1,1,2,3,2,1,3,3,3,2,2,3,3,3,3,2,3,3,3,3,2,2,5,3,6,5,5,5,6,3,3,3,2,2,19,4,32,38,32,4,4,3,Nuclear,2,18-25,0
2,0,1,0,1,0,0,3,0,1,0,2,0,0,0,1,1,2,0,1,1,2,1,6,1,7,7,7,2,6,7,2,3,2,20,4,18,2,12,1,0,1,Nuclear,2,18-25,0
3,1,3,0,3,3,2,3,3,3,3,3,3,1,3,3,3,3,2,3,3,1,7,5,7,5,7,1,2,1,7,1,1,2,18,3,38,28,42,4,4,4,Nuclear,2,18-25,0
2,2,1,1,1,2,0,3,2,2,3,2,2,1,1,1,2,2,2,2,1,6,5,6,6,6,2,5,3,3,3,2,1,2,18,2,30,20,20,2,4,3,Nuclear,2,18-25,0
2,0,0,0,1,1,2,0,1,2,3,2,2,0,0,0,2,3,0,1,1,5,1,4,6,5,5,7,6,2,1,3,0,2,20,2,22,8,16,2,1,2,Nuclear,2,18-25,0
2,3,0,1,2,0,1,1,3,0,1,2,3,1,2,1,3,0,0,0,0,5,2,5,5,2,6,7,6,6,2,4,2,1,31,5,14,20,18,2,4,0,Nuclear,2,26-35,1
3,0,1,1,2,2,0,3,3,0,2,2,2,2,2,0,2,0,0,2,0,1,7,5,7,1,6,5,4,1,3,2,2,2,19,2,28,16,14,2,3,3,Nuclear,2,18-25,0
0,0,1,0,0,2,0,0,1,1,1,1,1,1,0,2,1,1,0,0,0,1,4,4,0,7,5,4,4,3,1,3,3,2,18,5,12,2,12,1,0,0,Nuclear,2,18-25,0
0,1,1,0,3,0,0,0,0,1,2,1,0,1,0,2,0,3,1,0,1,2,7,7,1,6,5,4,7,6,2,2,1,1,19,1,14,4,16,2,0,0,Nuclear,2,18-25,0
0,1,1,0,3,2,0,0,0,1,2,0,2,0,0,1,1,0,0,3,1,2,2,5,4,6,7,4,6,3,6,2,3,2,19,2,8,8,20,2,1,0,Nuclear,2,18-25,0
3,1,1,1,3,3,0,1,2,1,2,1,2,1,2,2,1,3,0,2,0,1,5,5,6,3,6,5,3,3,5,2,3,2,19,3,28,16,20,2,3,3,Nuclear,2,18-25,0
1,2,1,0,2,1,0,1,0,1,1,1,2,0,2,1,1,1,1,0,1,2,4,3,5,5,6,5,7,3,4,2,1,1,20,3,12,10,18,2,2,0,Nuclear,2,18-25,0
3,2,3,3,3,2,3,3,3,3,3,2,3,3,3,3,3,0,3,3,3,1,6,6,6,5,7,1,7,4,7,2,3,2,19,2,32,40,42,4,4,3,Nuclear,2,18-25,0
1,1,2,0,1,2,0,2,2,1,1,2,2,0,2,1,2,1,2,3,2,5,6,4,6,6,6,5,3,2,4,2,2,1,19,2,18,20,22,3,4,1,Nuclear,2,18-25,0
1,1,0,0,1,1,0,0,1,0,2,2,1,2,0,0,0,1,0,0,0,6,1,2,0,5,6,7,6,1,1,3,3,2,42,4,18,4,4,0,0,1,Nuclear,2,36-45,2
2,0,0,2,3,3,2,1,1,3,2,1,2,1,3,1,3,1,3,3,3,5,5,2,6,7,5,7,3,2,7,3,3,2,21,3,22,28,30,4,4,2,Nuclear,2,18-25,0
2,0,1,1,2,0,0,3,2,1,1,3,1,1,0,1,3,0,2,0,1,2,5,6,6,5,7,5,5,4,6,2,1,1,23,2,20,10,20,2,2,2,Nuclear,2,18-25,0
0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,5,6,6,2,7,4,3,5,5,2,2,3,1,26,3,8,2,2,0,0,0,Nuclear,2,26-35,1
1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,7,1,7,7,7,7,7,1,3,3,2,43,3,6,0,0,0,0,0,Nuclear,2,36-45,2
3,0,2,1,2,2,0,2,2,2,2,2,3,1,1,2,3,2,0,0,1,1,5,7,6,5,7,7,1,6,1,4,2,2,35,2,28,8,30,4,1,3,Nuclear,2,26-35,1
1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,6,5,3,5,6,5,5,4,4,4,4,3,2,25,2,10,10,2,0,2,0,Nuclear,2,18-25,0
0,0,0,1,3,1,0,1,0,0,1,1,1,1,0,1,0,0,2,0,0,4,6,5,6,6,4,4,2,3,2,3,1,2,24,4,10,6,10,1,0,0,Nuclear,2,18-25,0
2,1,3,1,3,1,1,2,2,2,2,3,3,2,2,2,2,2,1,1,2,3,5,5,6,2,6,6,5,2,3,2,3,2,18,1,28,18,34,4,3,3,Nuclear,2,18-25,0
1,0,2,2,3,0,0,1,1,2,0,1,2,0,0,2,3,0,1,1,3,3,6,3,4,4,7,3,4,3,3,3,2,2,24,4,6,10,34,4,2,0,Nuclear,2,18-25,0
3,0,0,1,2,3,2,3,3,1,1,2,1,2,3,0,1,2,2,2,1,3,5,2,7,5,3,4,6,2,2,2,2,2,18,1,32,26,12,1,4,3,Nuclear,2,18-25,0
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,5,6,2,4,6,2,2,6,6,2,2,1,23,4,2,0,4,0,0,0,Nuclear,2,18-25,0
0,3,3,3,3,0,3,3,3,3,1,0,3,3,3,3,2,2,0,3,2,5,2,1,2,7,6,6,7,4,3,2,3,1,20,3,18,36,38,4,4,1,Nuclear,2,18-25,0
1,0,0,0,2,1,1,1,0,1,1,0,1,0,0,0,0,1,1,1,0,4,5,6,5,7,5,3,6,6,1,3,1,1,23,2,10,6,8,0,0,0,Nuclear,2,18-25,0
1,1,2,0,1,1,1,1,2,1,1,1,3,1,1,0,1,2,1,2,0,3,5,6,6,6,7,6,5,5,6,4,3,2,23,4,16,16,16,2,3,1,Nuclear,2,18-25,0
0,0,1,0,2,0,0,0,0,1,0,2,1,0,0,1,1,2,0,0,0,6,5,4,1,6,1,3,5,7,2,2,2,1,21,3,8,0,14,2,0,0,Nuclear,2,18-25,0
2,0,3,0,3,2,1,1,0,0,1,1,2,3,0,3,0,2,3,0,0,5,7,2,6,6,6,2,7,1,2,4,3,2,26,2,24,8,22,3,1,2,Nuclear,2,26-35,1
1,0,1,2,3,1,1,1,1,2,2,2,3,2,1,2,2,1,0,1,1,2,5,1,6,4,6,6,5,4,4,2,2,1,40,2,20,12,28,4,2,2,Nuclear,2,36-45,2
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,6,1,6,3,4,2,6,1,2,2,1,18,2,0,2,0,0,0,0,Nuclear,2,18-25,0
